"Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G"
"299,Greg Monroe\monrogr01,C,27,PHO,7,6,21.4,5.3,8.6,.617,0.0,0.0,,5.3,8.6,.617,.617,0.9,1.1,.750,2.6,4.4,7.0,2.1,0.7,0.4,2.0,2.0,11.4"
"300,E'Twaun Moore\mooreet01,SG,28,NOP,22,20,30.6,4.9,9.6,.507,1.5,3.7,.395,3.4,5.9,.577,.583,0.4,0.6,.615,0.7,1.7,2.4,2.1,1.0,0.2,1.0,2.3,11.5"
"301,Eric Moreland\moreler01,PF,26,DET,18,0,10.3,0.5,1.1,.474,0.0,0.0,,0.5,1.1,.474,.474,0.1,0.2,.500,1.1,2.1,3.1,0.8,0.2,0.7,0.6,1.9,1.1"
"302,Marcus Morris\morrima03,SF,28,BOS,13,9,23.9,4.5,10.5,.434,1.3,3.5,.370,3.2,6.9,.467,.496,2.6,3.0,.872,0.5,4.9,5.4,1.5,0.7,0.3,1.1,1.8,13.0"
"303,Markieff Morris\morrima02,PF,28,WAS,15,15,22.9,4.1,9.1,.445,1.1,2.9,.364,3.0,6.2,.484,.504,0.7,0.9,.846,0.9,3.6,4.5,1.3,0.5,0.5,1.5,2.9,9.9"
"304,Timofey Mozgov\mozgoti01,C,31,BRK,16,14,15.1,2.1,3.7,.576,0.2,0.9,.200,1.9,2.8,.705,.602,0.6,0.9,.667,1.5,2.9,4.4,0.2,0.2,0.5,1.3,1.4,5.1"
"305,Emmanuel Mudiay\mudiaem01,PG,21,DEN,21,0,22.2,3.5,8.8,.395,1.0,2.7,.386,2.4,6.1,.398,.454,2.3,3.0,.774,0.6,2.3,2.9,3.3,0.5,0.1,2.3,1.5,10.3"
"306,Shabazz Muhammad\muhamsh01,SF,25,MIN,22,2,11.4,1.6,4.1,.385,0.2,0.9,.211,1.4,3.3,.431,.407,0.6,0.8,.722,0.5,1.2,1.7,0.3,0.2,0.1,0.1,0.9,4.0"
"307,Dejounte Murray\murrade01,PG,21,SAS,22,7,19.2,2.6,6.3,.413,0.1,0.4,.375,2.5,5.9,.415,.424,1.5,2.0,.750,1.1,3.3,4.4,2.5,0.8,0.2,1.6,1.5,6.8"
"308,Jamal Murray\murraja01,PG,20,DEN,21,21,27.0,5.0,11.9,.424,1.1,4.5,.253,3.9,7.4,.529,.472,2.2,2.4,.920,1.2,1.7,3.0,2.3,0.7,0.2,2.1,2.1,13.4"
"309,Mike Muscala\muscami01,C,26,ATL,9,5,22.4,2.3,5.7,.412,0.7,2.1,.316,1.7,3.6,.469,.471,1.2,1.3,.917,1.2,3.2,4.4,1.0,0.8,0.6,0.9,2.6,6.6"
"310,Abdel Nader\naderab01,SF,24,BOS,11,0,7.0,0.6,1.7,.368,0.2,0.6,.286,0.5,1.1,.417,.421,0.0,0.0,,0.2,0.6,0.8,0.3,0.2,0.2,0.5,0.5,1.5"
"311,Larry Nance\nancela02,PF,25,LAL,10,10,23.7,3.9,6.6,.591,0.0,0.2,.000,3.9,6.4,.609,.591,1.6,2.2,.727,2.1,5.1,7.2,1.2,1.9,0.7,1.4,3.1,9.4"
"312,Shabazz Napier\napiesh01,PG,26,POR,18,0,16.3,2.4,5.2,.473,0.8,1.7,.500,1.6,3.5,.460,.554,1.3,1.6,.828,0.2,1.4,1.7,1.5,1.0,0.1,0.7,1.0,7.1"
"313,Jameer Nelson\nelsoja01,PG,35,NOP,20,0,25.3,2.4,5.3,.448,1.1,2.7,.407,1.3,2.6,.490,.552,0.6,0.8,.800,0.3,2.2,2.5,4.4,0.9,0.2,1.6,1.7,6.4"
"314,Raul Neto\netora01,PG,25,UTA,14,0,14.0,2.0,4.2,.475,0.6,1.4,.421,1.4,2.9,.500,.542,0.5,0.7,.700,0.1,1.1,1.3,1.9,0.4,0.1,0.9,1.0,5.1"
"315,Joakim Noah\noahjo01,C,32,NYK,1,0,3.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0"
"316,Nerlens Noel\noelne01,C,23,DAL,18,6,12.5,1.6,2.9,.528,0.0,0.0,,1.6,2.9,.528,.528,0.9,1.1,.842,1.4,2.6,4.1,0.3,0.6,0.6,0.8,1.7,4.0"
"317,Lucas Nogueira\noguelu01,C,25,TOR,17,2,12.0,1.6,2.8,.596,0.2,0.6,.300,1.5,2.2,.676,.628,0.4,0.5,.778,0.5,2.2,2.7,0.4,0.6,1.2,0.5,1.6,3.9"
"318,Dirk Nowitzki\nowitdi01,C,39,DAL,22,22,24.9,4.4,9.6,.455,1.4,3.5,.395,3.0,6.1,.489,.526,0.9,1.0,.870,0.5,5.4,5.9,1.8,0.5,0.3,0.9,1.9,11.0"
"319,Frank Ntilikina\ntilila01,PG,19,NYK,18,0,19.0,1.9,5.5,.343,0.4,1.8,.250,1.4,3.7,.388,.384,0.5,0.8,.643,0.3,1.4,1.8,3.3,1.4,0.2,2.0,2.6,4.7"
"320,Jusuf Nurkic\nurkiju01,C,23,POR,22,22,28.2,6.3,13.7,.460,0.0,0.2,.000,6.3,13.5,.468,.460,2.8,4.4,.646,1.9,6.0,7.9,2.1,0.8,1.2,3.2,3.0,15.5"
"321,David Nwaba\nwabada01,SG,25,CHI,9,3,21.2,2.7,5.0,.533,0.2,0.7,.333,2.4,4.3,.564,.556,1.6,2.2,.700,0.6,5.3,5.9,1.4,0.7,0.7,0.6,1.7,7.1"
"322,Johnny O'Bryant\obryajo01,PF,24,CHO,8,0,9.4,2.0,4.3,.471,0.3,0.9,.286,1.8,3.4,.519,.500,1.0,1.0,1.000,0.8,1.4,2.1,0.4,0.3,0.3,0.4,0.8,5.3"
"323,Royce O'Neale\onealro01,SF,24,UTA,14,0,9.1,0.8,2.3,.344,0.3,1.1,.267,0.5,1.2,.412,.406,0.4,0.6,.625,0.1,1.5,1.6,0.9,0.5,0.0,0.3,0.7,2.2"
"324,Kyle O'Quinn\oquinky01,C,27,NYK,21,3,16.8,2.5,4.6,.546,0.0,0.1,.000,2.5,4.5,.564,.546,1.3,1.6,.818,1.6,4.9,6.5,2.1,0.5,1.0,1.8,2.7,6.3"
"325,Semi Ojeleye\ojelese01,PF,23,BOS,22,0,13.8,0.8,2.5,.321,0.6,2.0,.295,0.2,0.5,.417,.438,0.5,0.7,.625,0.5,1.5,2.0,0.2,0.4,0.0,0.3,1.0,2.7"
"326,Jahlil Okafor\okafoja01,C,22,PHI,2,0,12.5,2.0,4.5,.444,0.0,0.0,,2.0,4.5,.444,.444,1.0,2.0,.500,2.0,2.5,4.5,0.5,0.0,1.0,1.5,3.5,5.0"
"327,Victor Oladipo\oladivi01,SG,25,IND,22,22,33.4,8.5,17.7,.479,2.4,5.5,.433,6.1,12.3,.500,.546,4.0,5.1,.795,0.6,4.4,5.0,4.0,1.9,1.1,3.2,2.5,23.4"
"328,Kelly Olynyk\olynyke01,PF,26,MIA,22,1,19.6,3.2,6.1,.526,1.2,2.6,.474,2.0,3.5,.564,.626,1.5,2.0,.791,1.0,4.3,5.2,1.8,0.5,0.5,2.0,3.0,9.2"
"329,Cedi Osman\osmande01,SF,22,CLE,14,0,5.3,0.6,1.2,.529,0.2,0.5,.429,0.4,0.7,.600,.618,0.1,0.1,1.000,0.2,1.2,1.4,0.2,0.1,0.1,0.2,0.6,1.6"
"330,Kelly Oubre\oubreke01,SF,22,WAS,22,6,27.9,4.0,9.5,.418,1.6,4.2,.391,2.3,5.3,.440,.505,2.2,2.7,.814,1.0,4.6,5.5,1.0,0.9,0.5,1.1,2.7,11.7"
