"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"78,Michael Carter-Williams\cartemi01,PG,26,CHO,10,183,11.5,.437,.220,.640,5.9,11.6,8.7,23.8,2.9,1.9,19.0,18.8,,-0.1,0.2,0.2,.049,,-2.6,2.2,-0.4,0.1"
"79,Alex Caruso\carusal01,PG,23,LAL,2,19,4.8,.500,.000,.000,0.0,10.9,5.5,26.7,0.0,0.0,50.0,8.8,,0.0,0.0,0.0,-0.021,,-8.0,-2.6,-10.6,0.0"
"80,Omri Casspi\casspom01,SF,29,GSW,19,268,17.5,.682,.132,.316,4.1,25.0,15.5,9.5,1.1,3.2,13.9,16.1,,0.6,0.4,1.0,.181,,-0.1,0.7,0.6,0.2"
"81,Willie Cauley-Stein\caulewi01,C,24,SAC,22,557,17.6,.539,.031,.277,7.6,20.8,13.9,14.2,1.6,4.1,13.3,20.0,,0.5,0.5,1.0,.088,,-1.0,1.6,0.6,0.4"
"82,Tyler Cavanaugh\cavanty01,PF,23,ATL,12,109,16.1,.680,.633,.067,5.2,18.9,12.0,13.9,0.4,0.8,6.1,13.3,,0.3,0.0,0.4,.166,,2.9,-2.0,0.9,0.1"
"83,Mario Chalmers\chalmma01,PG,31,MEM,20,489,10.5,.468,.401,.349,0.7,13.7,7.2,25.7,2.8,0.4,16.6,19.8,,-0.3,0.6,0.3,.034,,-2.1,0.1,-2.0,0.0"
"84,Tyson Chandler\chandty01,C,35,PHO,17,427,14.5,.666,.000,.513,11.4,26.5,18.8,4.0,0.5,2.0,18.4,11.0,,0.8,0.3,1.1,.118,,-1.2,-0.4,-1.6,0.0"
"85,Wilson Chandler\chandwi01,SF,30,DEN,18,545,10.1,.533,.396,.239,4.4,11.9,8.1,12.3,0.8,1.1,15.9,13.8,,0.4,0.2,0.7,.059,,-0.8,-0.8,-1.6,0.1"
"86,Marquese Chriss\chrisma01,PF,20,PHO,23,460,10.1,.491,.398,.248,4.2,20.7,12.3,8.0,1.4,4.5,15.5,15.6,,-0.1,0.4,0.3,.032,,-3.1,1.4,-1.7,0.0"
"87,Ian Clark\clarkia01,SG,26,NOP,19,291,6.2,.453,.527,.129,0.8,9.2,5.1,13.6,1.3,0.0,13.2,16.9,,-0.2,0.1,-0.1,-0.019,,-3.8,-2.4,-6.1,-0.3"
"88,Jordan Clarkson\clarkjo01,SG,25,LAL,21,475,19.7,.570,.259,.220,3.8,9.6,6.7,23.2,1.5,0.0,11.8,28.2,,0.8,0.5,1.3,.129,,2.4,-2.3,0.1,0.3"
"89,Gian Clavell\clavegi01,SG,24,DAL,7,64,7.7,.530,.833,.111,1.6,10.8,6.0,7.1,1.6,0.0,9.6,14.6,,0.0,0.0,0.1,.047,,-1.4,-1.6,-2.9,0.0"
"90,Antonius Cleveland\clevean01,SG,23,DAL,5,17,10.7,.521,.000,1.000,0.0,13.6,6.4,16.8,2.9,0.0,0.0,7.6,,0.0,0.0,0.0,.128,,-3.2,1.2,-2.0,0.0"
"91,John Collins\collijo01,PF,20,ATL,21,484,20.4,.622,.006,.270,15.4,19.7,17.5,5.9,1.4,3.4,13.7,20.5,,1.2,0.4,1.6,.155,,0.8,-0.1,0.7,0.3"
"92,Zach Collins\colliza01,C,20,POR,7,34,-14.3,.167,.333,.000,6.6,12.5,9.6,7.9,0.0,0.0,40.0,19.2,,-0.3,0.0,-0.2,-0.312,,-14.5,-0.8,-15.3,-0.1"
"93,Darren Collison\collida01,PG,30,IND,23,735,16.8,.569,.321,.276,2.5,8.4,5.5,27.9,1.9,0.3,13.0,16.9,,1.8,0.4,2.2,.142,,2.5,-1.4,1.0,0.6"
"94,Nick Collison\collini01,PF,37,OKC,3,15,22.6,1.042,.000,1.000,7.3,23.6,15.1,20.4,0.0,0.0,25.8,11.2,,0.1,0.0,0.1,.292,,2.2,-1.5,0.7,0.0"
"95,Mike Conley\conlemi01,PG,30,MEM,12,373,16.1,.520,.458,.393,0.0,8.4,4.2,23.1,1.6,0.7,8.4,26.6,,0.4,0.3,0.7,.089,,1.6,-2.9,-1.3,0.1"
"96,Pat Connaughton\connapa01,SG,25,POR,22,424,10.9,.613,.565,.130,1.1,11.3,6.3,9.0,0.4,0.9,10.9,13.2,,0.6,0.5,1.1,.129,,-0.1,-0.4,-0.5,0.2"
"97,Quinn Cook\cookqu01,PG,24,GSW,3,19,12.5,.600,.400,.000,0.0,10.7,5.8,34.7,0.0,0.0,16.7,13.6,,0.0,0.0,0.1,.146,,-0.2,-5.3,-5.5,0.0"
"98,Charles Cooke\cookech01,SG,23,NOP,2,5,8.8,.250,.500,.000,0.0,0.0,0.0,31.1,9.6,0.0,0.0,34.8,,0.0,0.0,0.0,-0.192,,-6.5,-3.8,-10.3,0.0"
"99,Jack Cooley\cooleja01,PF,26,SAC,1,2,49.7,.532,.000,2.000,0.0,60.3,28.6,64.3,0.0,0.0,0.0,42.2,,0.0,0.0,0.0,.536,,13.7,5.8,19.5,0.0"
"100,Matt Costello\costema01,C,24,SAS,1,11,16.4,1.000,.000,.000,0.0,50.8,25.4,0.0,0.0,15.2,0.0,4.1,,0.0,0.0,0.1,.249,,-7.3,4.3,-2.9,0.0"
"101,DeMarcus Cousins\couside01,C,27,NOP,22,785,22.6,.567,.354,.386,6.6,31.4,19.3,24.8,2.1,3.6,18.5,33.0,,0.6,1.3,1.9,.119,,1.5,3.3,4.8,1.4"
"102,Robert Covington\covinro01,PF,27,PHI,21,659,14.8,.604,.655,.168,3.4,16.6,10.1,7.8,2.4,1.7,13.2,18.5,,0.8,0.9,1.8,.129,,1.9,1.1,3.0,0.8"
