season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2012,orlando_magic,20.0,62.0,0.24390243902439024,61.4,140.70000000000002,10.600000000000001,34.00000000000001,50.699999999999996,106.89999999999999,21.400000000000002,28.500000000000007,16.799999999999997,52.400000000000006,69.3,40.7,10.9,6.699999999999999,23.700000000000003,32.8,154.7,401.69999999999993,0.4634444444444444,0.2460625,0.42877777777777787,0.7023888888888887,0.46361111111111103,25.27777777777778
2013,orlando_magic,23.0,59.0,0.2804878048780488,49.0,110.7,8.100000000000001,23.999999999999996,40.800000000000004,86.7,20.700000000000003,27.599999999999998,14.900000000000002,45.9,61.099999999999994,27.000000000000004,10.3,6.3999999999999995,18.3,29.800000000000004,126.6,334.4,0.45481249999999995,0.28475,0.424,0.738625,0.4575,24.875
2014,orlando_magic,25.0,57.0,0.3048780487804878,48.6,108.19999999999999,8.999999999999998,26.7,39.5,81.10000000000001,17.700000000000003,24.799999999999997,13.2,42.1,55.099999999999994,26.4,10.399999999999999,5.1,18.7,28.7,123.99999999999999,323.29999999999995,0.4809333333333334,0.28813333333333335,0.43906666666666666,0.7010000000000001,0.483,24.933333333333334
2015,orlando_magic,35.0,47.0,0.4268292682926829,53.199999999999996,119.89999999999999,11.2,32.7,42.2,87.3,21.299999999999997,28.4,14.799999999999997,46.70000000000001,61.49999999999999,32.800000000000004,11.6,7.000000000000001,18.9,29.999999999999996,139.4,343.9,0.4624117647058824,0.3051875,0.42217647058823526,0.7703529411764706,0.47217647058823525,24.88235294117647
2016,orlando_magic,29.0,53.0,0.35365853658536583,51.8,120.89999999999998,13.100000000000001,39.800000000000004,38.7,80.89999999999999,21.599999999999998,28.00000000000001,13.499999999999998,47.199999999999996,60.599999999999994,29.0,9.9,6.2,18.400000000000002,28.499999999999993,138.29999999999998,344.4,0.42089473684210527,0.30843750000000003,0.38721052631578945,0.7890666666666667,0.4378421052631579,25.473684210526315
2017,orlando_magic,9.0,14.0,0.391304347826087,47.6,102.2,13.600000000000001,35.0,34.2,67.4,17.999999999999996,24.8,10.5,39.199999999999996,49.60000000000001,30.5,9.5,6.5,17.9,24.900000000000002,126.50000000000001,288.3,0.4752666666666666,0.3379230769230768,0.4406666666666667,0.6909285714285716,0.49753333333333327,25.666666666666668
2000,dallas_mavericks,53.0,29.0,0.6463414634146342,56.10000000000001,124.1,7.5,20.999999999999996,48.6,103.20000000000002,28.10000000000001,37.2,17.099999999999998,48.60000000000001,65.5,29.000000000000004,11.700000000000003,9.099999999999998,20.7,42.10000000000001,147.9,369.2000000000001,0.4371499999999999,0.24460000000000004,0.4225999999999999,0.6779999999999999,0.44279999999999997,26.9
2001,dallas_mavericks,57.0,25.0,0.6951219512195121,57.099999999999994,128.59999999999997,10.800000000000002,29.799999999999997,46.5,98.90000000000002,28.3,36.599999999999994,18.300000000000004,50.4,68.49999999999999,33.2,11.899999999999999,8.6,18.5,39.599999999999994,153.39999999999998,386.2,0.43147368421052634,0.24906666666666666,0.413421052631579,0.699421052631579,0.4434736842105263,28.05
2002,dallas_mavericks,60.0,22.0,0.7317073170731707,47.2,106.8,8.9,23.3,38.7,83.59999999999998,20.700000000000003,25.400000000000002,16.700000000000003,39.199999999999996,55.5,27.400000000000002,10.399999999999999,6.7,14.4,29.6,124.0,312.1,0.4300588235294118,0.251,0.4205294117647058,0.7465333333333334,0.44776470588235295,28.764705882352942
2003,dallas_mavericks,52.0,30.0,0.6341463414634146,47.29999999999999,103.89999999999999,7.0,20.4,40.4,83.5,21.0,26.5,17.4,36.7,54.10000000000001,27.2,9.8,6.699999999999999,14.200000000000001,25.200000000000003,122.8,291.00000000000006,0.4384285714285715,0.2818333333333334,0.41978571428571426,0.764,0.442,28.071428571428573
