season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2003,atlanta_hawks,28.0,54.0,0.34146341463414637,28.1,69.5,4.7,16.9,23.4,52.5,14.100000000000001,16.2,5.5,18.6,24.0,12.9,5.1,5.9,11.1,7.9,75.0,153.0,0.4515,0.26775000000000004,0.415,0.873,0.45075,26.75
2004,atlanta_hawks,13.0,69.0,0.15853658536585366,23.6,52.9,2.8000000000000003,9.1,20.7,43.800000000000004,11.6,16.7,7.299999999999999,17.3,24.6,14.2,3.9000000000000004,1.2000000000000002,9.600000000000001,11.3,61.5,139.7,0.47825,0.28225,0.45199999999999996,0.7250000000000001,0.47700000000000004,25.0
2005,atlanta_hawks,26.0,56.0,0.3170731707317073,23.0,51.5,2.9,8.3,20.099999999999998,43.099999999999994,12.799999999999999,17.5,8.5,16.9,25.5,13.7,4.300000000000001,3.7,10.2,13.3,61.8,140.70000000000002,0.4635,0.25275000000000003,0.44525000000000003,0.73475,0.46900000000000003,22.5
2006,atlanta_hawks,30.0,52.0,0.36585365853658536,25.000000000000004,54.2,3.3000000000000003,9.7,21.700000000000003,44.5,14.200000000000001,18.8,6.7,17.5,24.3,11.9,4.4,4.3,9.8,10.399999999999999,67.5,149.0,0.48899999999999993,0.30325,0.46175000000000005,0.76275,0.48775,22.25
2007,atlanta_hawks,37.0,45.0,0.45121951219512196,24.8,56.3,4.5,12.4,20.3,43.800000000000004,13.899999999999999,17.6,4.7,16.9,21.599999999999998,17.400000000000002,4.6,3.4999999999999996,9.799999999999999,10.0,67.8,144.2,0.462,0.27575000000000005,0.44125000000000003,0.7907500000000001,0.47925,24.5
2008,atlanta_hawks,47.0,35.0,0.573170731707317,24.099999999999998,53.2,5.300000000000001,14.400000000000002,18.900000000000002,38.7,12.2,16.5,5.0,16.4,21.400000000000002,14.500000000000002,4.6,2.5,7.5,8.8,65.8,143.60000000000002,0.48575,0.351,0.4555,0.75225,0.5042500000000001,25.5
2009,atlanta_hawks,53.0,29.0,0.6463414634146342,26.7,55.0,3.8,10.1,22.9,44.8,12.100000000000001,16.0,7.1,18.8,25.7,14.399999999999999,4.2,3.5,7.5,9.4,69.2,139.6,0.5095000000000001,0.43775000000000003,0.49075,0.7705,0.52125,26.0
2010,atlanta_hawks,44.0,38.0,0.5365853658536586,25.1,53.1,3.5,10.899999999999999,21.599999999999998,42.3,10.5,13.299999999999999,5.2,18.400000000000002,23.5,14.7,3.5999999999999996,2.9000000000000004,8.0,8.399999999999999,64.2,135.2,0.507,0.36724999999999997,0.47450000000000003,0.7947500000000001,0.5075000000000001,27.0
2011,atlanta_hawks,40.0,26.0,0.6060606060606061,24.7,51.8,3.3,9.5,21.5,42.4,9.799999999999999,13.5,5.7,17.0,22.699999999999996,14.9,4.7,3.8000000000000003,7.9,8.0,62.6,135.5,0.5105,0.24675000000000002,0.48524999999999996,0.7422500000000001,0.5145,26.0
2012,atlanta_hawks,44.0,38.0,0.5365853658536586,24.2,50.2,4.5,11.399999999999999,19.700000000000003,38.7,7.4,10.899999999999999,5.0,19.799999999999997,24.900000000000002,16.6,4.7,3.8000000000000003,8.8,9.1,60.4,135.9,0.49875,0.40475,0.48000000000000004,0.72525,0.5375,27.0
2013,atlanta_hawks,38.0,44.0,0.4634146341463415,24.599999999999998,50.400000000000006,4.6000000000000005,11.600000000000001,19.9,38.8,11.1,14.3,5.1,18.400000000000002,23.5,15.3,4.699999999999999,3.1000000000000005,9.0,8.8,65.0,132.60000000000002,0.50175,0.38075,0.48525,0.79625,0.54225,28.0
2014,atlanta_hawks,60.0,22.0,0.7317073170731707,21.3,42.7,5.800000000000001,13.8,15.4,29.0,8.1,10.7,5.199999999999999,19.1,24.400000000000002,10.6,4.7,3.0,6.1,8.5,56.599999999999994,126.7,0.52425,0.38725000000000004,0.497,0.779,0.5780000000000001,29.5
2015,atlanta_hawks,48.0,34.0,0.5853658536585366,21.6,46.2,5.4,14.5,16.200000000000003,31.7,9.0,11.2,4.800000000000001,17.5,22.3,14.500000000000002,4.6000000000000005,3.8999999999999995,7.7,9.0,57.2,123.30000000000001,0.5062500000000001,0.36524999999999996,0.46225,0.80625,0.5275,30.0
2016,atlanta_hawks,43.0,39.0,0.524390243902439,21.700000000000003,45.5,4.4,12.2,17.3,33.2,11.2,15.600000000000001,6.1,20.200000000000003,26.3,13.7,3.8000000000000003,2.7,9.2,8.8,59.0,123.1,0.5255,0.265,0.49125,0.76125,0.5445000000000001,30.0
