0,1,season
Boston Celtics,map,2016
Washington Wizards,map,2016
Oklahoma City Thunder,map,2016
Memphis Grizzlies,map,2016
Miami Heat,mip,2016
Denver Nuggets,mip,2016
Chicago Bulls,map,2016
Charlotte Hornets,mip,2016
Portland Trail Blazers,map,2016
Milwaukee Bucks,map,2016
Indiana Pacers,map,2016
Minnesota Timberwolves,mip,2016
Atlanta Hawks,map,2016
Detroit Pistons,mip,2016
New Orleans Pelicans,mip,2016
Dallas Mavericks,mip,2016
Sacramento Kings,mip,2016
New York Knicks,mip,2016
Phoenix Suns,mip,2016
Philadelphia 76ers,mip,2016
Los Angeles Lakers,mip,2016
Orlando Magic,mip,2016
Brooklyn Nets,mip,2016
Houston Rockets,mip,2017
Golden State Warriors,mip,2017
Toronto Raptors,mip,2017
Boston Celtics,mip,2017
Washington Wizards,mip,2017
Philadelphia 76ers,mip,2017
San Antonio Spurs,mip,2017
Utah Jazz,mip,2017
Detroit Pistons,mip,2017
Oklahoma City Thunder,mip,2017
Portland Trail Blazers,mip,2017
Cleveland Cavaliers,mip,2017
New York Knicks,mip,2017
Indiana Pacers,mip,2017
Minnesota Timberwolves,mip,2017
Denver Nuggets,mip,2017
Charlotte Hornets,mip,2017
Milwaukee Bucks,mip,2017
New Orleans Pelicans,mip,2017
Memphis Grizzlies,mip,2017
Los Angeles Clippers,mip,2017
Miami Heat,mip,2017
Orlando Magic,mip,2017
Brooklyn Nets,mip,2017
Los Angeles Lakers,mip,2017
Dallas Mavericks,mip,2017
Atlanta Hawks,mip,2017
Sacramento Kings,mip,2017
Phoenix Suns,mip,2017
Chicago Bulls,mip,2017
