season,team_name,w,l,wp,fg,fga,3p,3pa,2p,2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,mp,2p%,3p%,fg%,ft%,efg%,age
2010,washington_wizards,23.0,59.0,0.2804878048780488,23.1,51.300000000000004,2.2,6.2,20.900000000000002,45.099999999999994,12.4,16.6,6.6,17.0,23.499999999999996,12.3,4.5,4.0,9.2,10.5,60.699999999999996,131.3,0.47200000000000003,0.22625,0.46125000000000005,0.7354999999999999,0.48025000000000007,23.0
2011,washington_wizards,20.0,46.0,0.30303030303030304,18.7,42.8,2.5,7.4,16.2,35.4,9.5,12.899999999999999,5.0,14.299999999999999,19.2,10.5,3.9000000000000004,4.2,7.699999999999999,10.0,49.4,115.6,0.447,0.26266666666666666,0.43400000000000005,0.70825,0.46725,23.25
2012,washington_wizards,29.0,53.0,0.35365853658536583,17.599999999999998,39.1,3.4000000000000004,8.5,14.200000000000001,30.499999999999996,9.0,12.2,5.7,17.4,23.2,8.4,3.0,2.3000000000000003,6.5,8.8,47.6,113.30000000000001,0.46125000000000005,0.26933333333333337,0.45225,0.7335,0.4962500000000001,26.25
2013,washington_wizards,44.0,38.0,0.5365853658536586,24.4,53.5,5.499999999999999,14.2,18.7,39.2,9.7,12.7,5.0,18.5,23.5,16.3,4.9,2.5,8.7,9.600000000000001,64.0,139.2,0.4835,0.54,0.4625,0.76275,0.514,25.0
2014,washington_wizards,46.0,36.0,0.5609756097560976,21.799999999999997,46.8,4.1,11.0,17.6,35.6,9.4,12.2,4.2,17.0,21.1,16.3,4.1,2.5,8.3,9.0,57.0,125.4,0.49424999999999997,0.2745,0.47125000000000006,0.7629999999999999,0.51625,28.0
2015,washington_wizards,41.0,41.0,0.5,20.200000000000003,43.599999999999994,3.9000000000000004,11.100000000000001,16.3,32.6,7.800000000000001,10.6,5.3,17.4,22.700000000000003,15.0,4.8,2.7,7.3999999999999995,9.3,52.3,121.00000000000001,0.501,0.26575,0.46549999999999997,0.7445,0.51525,26.75
2016,washington_wizards,49.0,33.0,0.5975609756097561,26.6,53.8,5.9,15.0,20.7,38.9,11.600000000000001,14.600000000000001,5.8999999999999995,18.3,24.099999999999998,17.2,5.1,2.1,8.2,9.100000000000001,70.4,135.1,0.5435,0.29125,0.507,0.7765,0.5587500000000001,26.0
2017,washington_wizards,12.0,10.0,0.5454545454545454,25.6,53.4,5.3,13.7,20.4,39.8,12.6,16.5,4.8,18.8,23.6,16.0,4.5,2.8,7.999999999999999,8.5,69.0,131.70000000000002,0.51925,0.38266666666666665,0.49200000000000005,0.7585,0.536,27.0
2000,milwaukee_bucks,52.0,30.0,0.6341463414634146,24.8,52.39999999999999,3.7,9.8,21.1,42.599999999999994,11.400000000000002,13.7,4.3,13.899999999999999,18.200000000000003,16.099999999999998,4.1,1.5,8.6,9.8,64.6,125.80000000000001,0.493,0.3115,0.46475,0.79875,0.4965,28.0
2001,milwaukee_bucks,41.0,41.0,0.5,27.199999999999996,57.8,5.2,13.2,21.9,44.7,12.4,15.0,4.5,18.299999999999997,22.8,17.3,4.7,1.4,8.899999999999999,10.0,71.8,145.60000000000002,0.492,0.527,0.47425000000000006,0.8167500000000001,0.513,30.5
2002,milwaukee_bucks,42.0,40.0,0.5121951219512195,22.599999999999998,49.6,4.6000000000000005,12.0,17.900000000000002,37.6,11.8,13.900000000000002,4.3,16.1,20.3,13.8,3.6999999999999997,1.2000000000000002,7.7,11.5,61.5,132.5,0.47775,0.28075000000000006,0.45899999999999996,0.8180000000000001,0.49749999999999994,30.25
2003,milwaukee_bucks,41.0,41.0,0.5,19.2,43.2,1.6,4.9,17.6,38.5,10.3,12.899999999999999,7.199999999999999,16.6,24.0,10.700000000000001,3.2,2.5,6.4,9.8,50.199999999999996,121.5,0.45025000000000004,0.26266666666666666,0.44000000000000006,0.77875,0.453,24.75
